name,airport_code
7 Novembre International Airport,TBJ
Aalborg Airport,AAL
Aarhus Airport,AAR
Aba Tenna Dejazmach Yilma International Airport,DIR
Abakan International Airport,ABA
Abdullahi Yusuf International Airport,GBY
Abeid Amani Karume International Airport,ZNZ
Abel Santa Maria Airport,SNU
Aberdeen Airport,ABZ
Abruzzo Airport,PSR
Abu Dhabi International Airport,AUH
Achmad Yani International Airport,SRG
Addis Ababa Bole International Airport,ADD
Adelaide Airport,ADL
Aden Adde International Airport,MGQ
Aden International Airport,ADE
Adisucipto International Airport,JOG
Adisumarmo International Airport,SOC
Adnan Menderes Airport,ADB
Aeroparque Jorge Newbery,AEP
Afonso Pena International Airport,CWB
Agatti Airport,AGX
Ain Arnat Airport,QSF
Akanu Ibiam International Airport,ENU
Akita Airport,AXT
Akron Fulton International Airport,AKC
Akron-Canton Airport,CAK
Aktau Airport,SCO
Aktion National Airport,PVK
Akureyri Airport,AEY
Al Ain International Airport,AAN
Al Alamain International Airport,DBB
Al Massira Airport,AGA
Al Najaf International Airport,NJF
Al-Maktoum International Airport,DWC
Albany International Airport,ALB
Albrecht Durer Airport,NUE
Albuquerque International Sunport,ABQ
Alejandro Velasco Astete International Airport,CUZ
Aleppo International Airport,ALP
Alesund Airport,AES
Alexandria International Airport,ALY
Alfonso Bonilla Aragon International Airport,CLO
Alfredo Vasquez Cobo International Airport,LET
Alguaire Airport,ILD
Alicante Airport,ALC
Allama Iqbal International Airport,LHE
Almaty International Airport,ALA
Almeria International Airport,LEI
Along Airport,IXV
Alvedro Airport,LCG
Amborovy Airport,MJN
Amilcar Cabral International Airport,SID
Amman Civil Airport,ADJ
Amsterdam Airport Schiphol,AMS
Anapa Airport,AAQ
Ancona Airport,AOI
Angads Airport,OUD
Angel Albino Corzo International Airport,TGZ
Antalya Airport,AYT
Antonio B. Won Pat International Airport,GUM
Antonio Maceo Airport,SCU
Antwerp International Airport,ANR
Aomori Airport,AOJ
Appleton International Airport,ATW
Aranmula International Airport,AML
Are Ostersund Airport,OSD
Argyle International Airport,SVD
Aristides Pereira International Airport,BVC
Arrachart Airport,DIE
Arthur Napoleon Raymond Robinson International Airport,TAB
Arturo Michelena International Airport,VLN
Asaba International Airport,ABB
Ashgabat Airport,ASB
Asmara International Airport,ASM
Assiut Airport,ATZ
Astana International Airport,TSE
Asturias Airport,OVD
Aswan International Airport,ASW
Ataturk International Airport,IST
Athens International Airport,ATH
Atlantic City International Airport,ACY
Atyrau Airport,GUW
Auckland Airport,AKL
Augusto C. Sandino International Airport,MGA
Austin-Bergstrom International Airport,AUS
Bacha Khan International Airport,PEW
Bacolod-Silay International Airport,BCD
Bagdogra International Airport,IXB
Baghdad International Airport,BGW
Bahawalpur Airport,BHV
Bahias de Huatulco International Airport,HUX
Bahrain International Airport,BAH
Baikal International Airport,UUD
Baltimore-Washington International Thurgood Marshall Airport,BWI
Bandar Abbas International Airport,BND
Bandaranaike International Airport,CMB
Bangoka International Airport,FKI
Bangor International Airport,BGR
Banja Luka International Airport,BNX
Banjul International Airport,BJL
Barcelona Airport,BCN
Barnaul Airport,BAX
Basel-Mulhouse-Freiburg Airport,MSL
Basra International Airport,BSR
Bassel Al-Assad International Airport,LTK
Batna Airport,BLJ
Batumi International Airport,BUS
Bauerfield International Airport,VLI
Beauvais-Tille Airport,BVA
Begishevo Airport,NBC
Beihai Fucheng Airport,BHY
Beijing Capital International Airport,PEK
Beijing Nanyuan Airport,NAY
Beira Airport,BEW
Beirut Rafic Hariri International Airport,BEY
Beja Airport,BYJ
Belfast International Airport,BFS
Belgorod International Airport,EGO
Belgrade Nikola Tesla Airport,BEG
Bellegarde Airport,LIG
Ben Gurion Airport,TLV
Benazir Bhutto International Airport,ISB
Bender Qassim International Airport,BSA
Benina International Airport,BEN
Bergen Airport,BGO
Bergerac-Roumaniere Airport,EGC
Berlin Brandenburg Airport (Future),BER
Berlin Schonefeld Airport,SXF
Berlin Tegel Airport,TXL
Bern-Belp Airport,BRN
Beslan Airport,OGZ
Beziers Cap d'Agde Airport,BZR
Biard Airport,PIS
Biarritz Airport,BIQ
Biju Patnaik International Airport,BBI
Billund Airport,BLL
Billy Bishop Toronto City Airport,YTZ
Birjand International Airport,XBJ
Birmingham International Airport,BHX
Birmingham-Shuttlesworth International Airport,BHM
Birsa Munda Airport,IXR
Biskra Airport,BSK
Blagnac Airport,TLS
Bluefields Airport,BEF
Bobo Dioulasso Airport,BOY
"Bocas del Toro ""Isla Colon"" International Airport",BOC
Bodo Airport,BOO
Bogashevo Airport,TOF
Bologna Airport,BLQ
Bonriki International Airport,TRW
Borg El Arab Airport,HBE
Boryspil International Airport,KBP
Bournemouth Airport,BOH
Boutheon Airport,EBU
Bradley International Airport,BDL
Bratsk Airport,BTK
Bremen Airport,BRE
Brescia Airport,VBS
Brest Bretagne Airport,BES
Brindisi Airport,BDS
Brisbane Airport,BNE
Bristol Airport,BRS
Brno-Turany Airport,BRQ
Brunei International Airport,BWN
Brussels Airport,BRU
Brussels South Charleroi Airport,CRL
Bryansk International Airport,BZK
Bubaque Airport,BQE
Bucholz Army Airfield,KWA
Budapest Ferenc Liszt International Airport,BUD
Buffalo Niagara International Airport,BUF
Bujumbura International Airport,BJM
Burgas Airport,BOJ
Bydgoszcz Ignacy Jan Paderewski Airport,BZG
Cadjehoun Airport,COO
Cagliari Airport,CAG
Cairns Airport,CNS
Cairo International Airport,CAI
Calgary International Airport,YYC
Calicut International Airport,CCJ
Cam Ranh International Airport,CXR
Camilo Daza International Airport,CUC
Campo dell'Oro Airport,AJA
Campo Grande International Airport,CGR
Can Tho International Airport,VCA
Canberra Airport,CBR
Cancun International Airport,CUN
Canouan Airport,CIW
Cape Town International Airport,CPT
Capital Region International Airport,LAN
Capitan Corbeta CA Curbelo International Airport,PDP
Capodichino Airport,NAP
Captain Lakshmi Sehgal International Airport,KPR
Cardiff Airport,CWL
Carlos Concha Torres International Airport,ESM
Carlos Rovirosa Perez International Airport,VSA
Carrasco International Airport,MVD
Carriel Sur International Airport,CCP
Carthage International Airport,TUN
Caselle Airport,TRN
Cassidy International Airport,CXI
Cat Bi International Airport,HPH
Cataratas del Iguazu International Airport,IGR
Cayenne-Rochambeau Airport,CAY
Cerro Moreno International Airport,ANF
Cesaria Evora Airport,VXE
Chalons Vatry Airport,XCR
Chambery-Savoie Airport,CMF
Chandigarh International Airport,IXC
Changchun Longjia International Airport,CGQ
Changsha Huanghua International Airport,CSX
Changzhou Benniu Airport,CZX
Chania International Airport,CHQ
Charles de Gaulle Airport,CDG
Charles Kirkconnell International Airport,CYB
Charleston International Airport,CHS
Charlotte/Douglas International Airport,CLT
Chaudhary Charan Singh International Airport,LKO
Cheboksary Airport,CSY
Cheddi Jagan International Airport,GEO
Chelyabinsk Airport,CEK
Chengdu Shuangliu International Airport,CTU
Chennai International Airport,MAA
Cheongju International Airport,CJJ
Cherepovets Airport,CEE
Chernivtsi International Airport,CWC
Chhatrapati Sambhaji Raje International Airport,CRA\NPQ
Chhatrapati Shivaji International Airport,BOM
Chiang Mai International Airport,CNX
Chicago Midway International Airport,MDW
Chicago Rockford International Airport,RFD
Chileka International Airport,BLZ
Chinggis Khaan International Airport,ULN
Chingozi Airport,TET
Chios Island National Airport,JKH
Chisinau International Airport,KIV
Chlef International Airport,CFK
Chongqing Jiangbei International Airport,CKG
Christchurch International Airport,CHC
Christmas Island Airport,XCH
Chu Lai International Airport,VCL
Chub Cay International Airport,CCZ
Chubu Centrair International Airport,NGO
Chuuk International Airport,TKK
Cibao International Airport,STI
Cincinnati/Northern Kentucky International Airport,CVG
City of Derry Airport,LDY
Ciudad del Carmen International Airport,CME
